timestamp,eda_level_real
2024-07-15T09:11:00.000+07:00,10.19
2024-07-15T09:12:00.000+07:00,10.27
2024-07-15T09:13:00.000+07:00,10.3
2024-07-15T09:14:00.000+07:00,10.38
2024-07-15T09:15:00.000+07:00,10.43
2024-07-15T09:16:00.000+07:00,10.37
2024-07-15T09:17:00.000+07:00,10.25
2024-07-15T09:18:00.000+07:00,10.15
2024-07-15T09:19:00.000+07:00,10.05
2024-07-15T09:20:00.000+07:00,9.96
2024-07-15T09:21:00.000+07:00,9.96
2024-07-15T09:22:00.000+07:00,10.21
2024-07-15T09:23:00.000+07:00,10.76
2024-07-15T09:24:00.000+07:00,11.47
2024-07-15T09:25:00.000+07:00,12.13
2024-07-15T09:26:00.000+07:00,12.58
2024-07-15T09:27:00.000+07:00,12.76
2024-07-15T09:28:00.000+07:00,12.63
2024-07-15T09:29:00.000+07:00,12.24
2024-07-15T09:30:00.000+07:00,11.83
2024-07-15T09:31:00.000+07:00,11.36
2024-07-15T09:32:00.000+07:00,10.9
2024-07-15T09:33:00.000+07:00,10.56
2024-07-15T09:34:00.000+07:00,10.26
2024-07-15T09:35:00.000+07:00,10.01
2024-07-15T09:36:00.000+07:00,9.83
2024-07-15T09:37:00.000+07:00,9.75
2024-07-15T09:38:00.000+07:00,9.71
2024-07-15T09:39:00.000+07:00,9.83
2024-07-15T09:40:00.000+07:00,10.64
2024-07-15T09:41:00.000+07:00,11.64
2024-07-15T09:42:00.000+07:00,12.04
2024-07-15T22:56:00.000+07:00,2.05
2024-07-15T22:57:00.000+07:00,2.02
2024-07-15T22:58:00.000+07:00,1.96
2024-07-15T22:59:00.000+07:00,1.97
2024-07-15T23:00:00.000+07:00,2.01
2024-07-15T23:01:00.000+07:00,2.03
2024-07-15T23:02:00.000+07:00,2.02
2024-07-15T23:03:00.000+07:00,2.06
2024-07-15T23:04:00.000+07:00,2.08
2024-07-15T23:05:00.000+07:00,2.02
2024-07-15T23:06:00.000+07:00,2.0
2024-07-15T23:07:00.000+07:00,2.01
2024-07-15T23:08:00.000+07:00,2.01
2024-07-15T23:09:00.000+07:00,2.05
2024-07-15T23:10:00.000+07:00,2.12
2024-07-15T23:11:00.000+07:00,2.14
2024-07-15T23:12:00.000+07:00,2.17
2024-07-15T23:13:00.000+07:00,2.2
2024-07-15T23:14:00.000+07:00,2.2
2024-07-15T23:15:00.000+07:00,2.22
2024-07-15T23:16:00.000+07:00,2.28
2024-07-15T23:17:00.000+07:00,2.33
2024-07-15T23:18:00.000+07:00,2.35
2024-07-15T23:19:00.000+07:00,2.37
2024-07-15T23:20:00.000+07:00,2.4
2024-07-15T23:21:00.000+07:00,2.41
2024-07-15T23:22:00.000+07:00,2.42
2024-07-15T23:23:00.000+07:00,2.44
2024-07-15T23:24:00.000+07:00,2.46
2024-07-15T23:25:00.000+07:00,2.48
2024-07-15T23:26:00.000+07:00,2.46
2024-07-15T23:27:00.000+07:00,2.38
2024-07-15T23:28:00.000+07:00,2.29
2024-07-15T23:29:00.000+07:00,2.25
2024-07-15T23:30:00.000+07:00,2.21
2024-07-15T23:31:00.000+07:00,2.2
2024-07-15T23:32:00.000+07:00,2.19
2024-07-15T23:33:00.000+07:00,2.14
2024-07-15T23:34:00.000+07:00,2.08
2024-07-15T23:35:00.000+07:00,2.08
2024-07-15T23:36:00.000+07:00,2.1
2024-07-15T23:37:00.000+07:00,2.1
2024-07-15T23:38:00.000+07:00,2.11
2024-07-15T23:39:00.000+07:00,2.12
2024-07-15T23:40:00.000+07:00,2.15
2024-07-15T23:41:00.000+07:00,2.23
2024-07-15T23:42:00.000+07:00,2.34
2024-07-15T23:43:00.000+07:00,2.39
2024-07-15T23:44:00.000+07:00,2.4
2024-07-15T23:45:00.000+07:00,2.38
2024-07-15T23:46:00.000+07:00,2.35
2024-07-15T23:47:00.000+07:00,2.34
2024-07-15T23:48:00.000+07:00,2.37
2024-07-15T23:49:00.000+07:00,2.43
2024-07-15T23:50:00.000+07:00,2.5
2024-07-15T23:51:00.000+07:00,2.54
2024-07-15T23:52:00.000+07:00,2.52
2024-07-15T23:53:00.000+07:00,2.48
2024-07-15T23:54:00.000+07:00,2.49
2024-07-15T23:55:00.000+07:00,2.56
2024-07-15T23:56:00.000+07:00,2.64
2024-07-15T23:57:00.000+07:00,2.7
2024-07-15T23:58:00.000+07:00,2.78
2024-07-15T23:59:00.000+07:00,2.98
2024-07-16T00:00:00.000+07:00,3.37
2024-07-16T00:01:00.000+07:00,3.9
2024-07-16T00:02:00.000+07:00,5.47
