name,objectives,schedule,status,update_time
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(46, 73)",2025-07-04 00:00:00 - 2025-07-05 00:00:00,ENABLED,2025-07-03 18:22:05+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(46, 73)",2025-07-04 00:00:00 - 2025-07-05 00:00:00,ENABLED,2025-07-03 22:53:08+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(46, 75)",2024-11-22 00:00:00 - 2024-11-23 00:00:00,ENABLED,2024-11-22 07:38:10+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(49, 76)",2024-11-17 00:00:00 - 2024-11-18 00:00:00,ENABLED,2024-11-17 14:00:09+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(49, 77)",2024-11-18 00:00:00 - 2024-11-19 00:00:00,ENABLED,2024-11-19 02:54:04+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(5, 40)",2025-05-25 00:00:00 - 2025-05-26 00:00:00,ENABLED,2025-05-24 23:51:54+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(51, 73)",2024-09-19 00:00:00 - 2024-09-20 00:00:00,ENABLED,2024-09-19 10:00:16+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(51, 73)",2024-09-20 00:00:00 - 2024-09-21 00:00:00,ENABLED,2024-09-20 09:56:02+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(51, 80)",2024-11-19 00:00:00 - 2024-11-20 00:00:00,ENABLED,2024-11-19 16:10:01+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(51, 81)",2025-07-16 00:00:00 - 2025-07-17 00:00:00,ENABLED,2025-07-16 00:37:05+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(51, 83)",2025-05-26 00:00:00 - 2025-05-27 00:00:00,ENABLED,2025-05-25 17:56:45+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(52, 79)",2025-07-05 00:00:00 - 2025-07-06 00:00:00,ENABLED,2025-07-05 02:32:09+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(52, 80)",2024-09-25 00:00:00 - 2024-09-26 00:00:00,ENABLED,2024-09-25 10:00:12+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(52, 84)",2025-01-04 00:00:00 - 2025-01-05 00:00:00,ENABLED,2025-01-04 10:16:52+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(54, 80)",2024-09-23 00:00:00 - 2024-09-24 00:00:00,ENABLED,2024-09-23 09:20:13+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(55, 84)",2024-11-25 00:00:00 - 2024-11-26 00:00:00,ENABLED,2024-11-25 10:52:50+0000
